"uEubGf","drGLxe","hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","FQ2IWe src","wcldff","fontBodySmall","fontBodySmall 2","fontBodySmall 3","fontBodySmall 4"
"Guest rating","","","","","","","","","","","",""
"Sort by","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","https://www.google.com/maps/place/That+Phanom+River+View+Hotel/data=!4m10!3m9!1s0x313c39e78f95a373:0x9b572153b4aa1f3d!5m2!4m1!1i2!8m2!3d16.9456323!4d104.7293249!16s%2Fg%2F12hkb2p2y!19sChIJc6OVj-c5PDERPR-qtFMhV5s?authuser=0&hl=en&rclk=1","That Phanom River View Hotel","4.2","(555)","3-star hotel","https://lh3.googleusercontent.com/gps-proxy/ALd4DhHJbtFc4nRiCQYEpb9n80iPXPyH0hpZaYnvqn5bK_bBQqtwpsNqoBuHCeg073SYrtifvYScVA9p--wwcFq71JH9azee-NPWd2bpwrKrTg2HaWOYfiL0scu8oswg0HAKU6HuEv4hWUlRlurT3OHU6ceALdpHWB3S9vdmGvtWo7UJ2hN9MXdRAqrN=w138-h92-k-no","THB 788","Free parking","Free breakfast","Free Wi-Fi","Air-conditioned"
"","","https://www.google.com/maps/place/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%81%E0%B8%A3%E0%B8%A1%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%98%E0%B8%B2%E0%B8%95%E0%B8%B8%E0%B8%9E%E0%B8%99%E0%B8%A1+%E0%B8%9A%E0%B8%B9%E0%B8%95%E0%B8%B4%E0%B8%84%E0%B9%82%E0%B8%AE%E0%B9%80%E0%B8%95%E0%B8%A5+Sangthong+Heritage+%E0%B9%81%E0%B8%AA%E0%B8%87%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%AE%E0%B8%AD%E0%B8%A3%E0%B8%B4%E0%B9%80%E0%B8%97%E0%B8%88/data=!4m10!3m9!1s0x313c396814acf7fb:0x624e487b04a4cd91!5m2!4m1!1i2!8m2!3d16.9424985!4d104.7280486!16s%2Fg%2F11jb95lb2k!19sChIJ-_esFGg5PDERkc2kBHtITmI?authuser=0&hl=en&rclk=1","โรงแรมใกล้วัดพระธาตุพนม บูติคโฮเตล Sangthong Heritage แสงทองเฮอริเทจ","4.7","(80)","Hotel","https://lh5.googleusercontent.com/p/AF1QipNiEjcRRo8xDoGXsSJy1kYh47_Ri7nIYJcJunVI=w80-h106-k-no","THB 934","","","",""
"","","https://www.google.com/maps/place/%E0%B8%AA%E0%B8%A7%E0%B8%B1%E0%B8%AA%E0%B8%94%E0%B8%B5%E0%B8%A3%E0%B8%B5%E0%B8%AA%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%97+%E0%B8%98%E0%B8%B2%E0%B8%95%E0%B8%B8%E0%B8%9E%E0%B8%99%E0%B8%A1/data=!4m10!3m9!1s0x313c39665e788c97:0xbc74e539e95bbc29!5m2!4m1!1i2!8m2!3d16.9394379!4d104.7252312!16s%2Fg%2F11f7r1n0l6!19sChIJl4x4XmY5PDERKbxb6TnldLw?authuser=0&hl=en&rclk=1","สวัสดีรีสอร์ท ธาตุพนม","4.2","(89)","Hotel","https://lh5.googleusercontent.com/p/AF1QipNlp-tvsGhBFlJzknKq9VD5Ze101hE3yhiECTv0=w122-h92-k-no","THB 990","","","",""
"","","https://www.google.com/maps/place/N.J.+Hotel/data=!4m10!3m9!1s0x313c39c2b3147d35:0x274cff0e5bb0e8d3!5m2!4m1!1i2!8m2!3d16.9517954!4d104.7256363!16s%2Fg%2F11fy5fj12n!19sChIJNX0Us8I5PDER0-iwWw7_TCc?authuser=0&hl=en&rclk=1","N.J. Hotel","3.9","(55)","Hotel","https://lh5.googleusercontent.com/p/AF1QipNvgqt7hef1DY3mq54WtZt-shHU1Rq1CP1zRZmA=w80-h106-k-no","THB 481","Free parking","Free Wi-Fi","Air-conditioned","Wi-Fi"
"","","https://www.google.com/maps/place/Baan+Sabaijai+Resort+%26+Omsorgssenter/data=!4m10!3m9!1s0x313c39d9a372961d:0xe0e91ce69d171f49!5m2!4m1!1i2!8m2!3d16.9433472!4d104.7189058!16s%2Fg%2F11bt_km06v!19sChIJHZZyo9k5PDERSR8XneYc6eA?authuser=0&hl=en&rclk=1","Baan Sabaijai Resort & Omsorgssenter","4.4","(94)","Resort hotel","https://lh5.googleusercontent.com/p/AF1QipMkqgv98ybmlysZBAB3uBabqtO9DA5gNe7VBt4d=w122-h92-k-no","THB 630","Pool","Free parking","Free Wi-Fi","Air-conditioned"
"","","https://www.google.com/maps/place/%E0%B8%93+%E0%B8%98%E0%B8%B2%E0%B8%95%E0%B8%B8%E0%B8%9E%E0%B8%99%E0%B8%A1%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%AA+Na+That+Panom+Place+Hotel/data=!4m10!3m9!1s0x313c39df56ac5e6b:0xe968877bc70e4d09!5m2!4m1!1i2!8m2!3d16.9393221!4d104.7230888!16s%2Fg%2F1tghm25b!19sChIJa16sVt85PDERCU0Ox3uHaOk?authuser=0&hl=en&rclk=1","ณ ธาตุพนมเพลส Na That Panom Place Hotel","4.2","(186)","3-star hotel","https://lh3.googleusercontent.com/gps-proxy/ALd4DhG3iPcumkP9Djam3ujtCdp-2u-TRqQefgkGr1fxBH39VeS3JKukjlf2KH57y7sCS0yVb4qL6pwMbkVQPNkFo-v1vNT7KtVUdxehX8mTrzoekrFUrm-ewkmPy1cFdFxu-S6OuIOHYwsxWrgXbbnvJ5YgQIxLQKyyRueSTozXl25vj2bhOHIGykg=w138-h92-k-no","THB 802","Free parking","Free Wi-Fi","Air-conditioned","Wi-Fi"
"","","https://www.google.com/maps/place/%E0%B8%8A%E0%B8%A1%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%87+%E0%B9%82%E0%B8%AE%E0%B8%A1%E0%B8%AA%E0%B9%80%E0%B8%95%E0%B8%A2%E0%B9%8C+%28Homestay%29,Chomthung+Homestay+Hotel,+That+Phanom+Town/data=!4m10!3m9!1s0x313c396b9d32bf97:0xb5ee53c6a910af94!5m2!4m1!1i2!8m2!3d16.9411201!4d104.7076324!16s%2Fg%2F11fmb3jfsh!19sChIJl78ynWs5PDERlK8QqcZT7rU?authuser=0&hl=en&rclk=1","ชมทุ่ง โฮมสเตย์ (Homestay),Chomthung Homestay Hotel, That Phanom Town","4.4","(23)","Hotel","https://lh5.googleusercontent.com/p/AF1QipNucy7ux2NAg8WlxV-gW2EISVIEqnPGLUNtcki1=w122-h92-k-no","THB 623","","","",""
