"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","FQ2IWe src","doJOZc","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7"
"https://www.google.com/maps/place/%E0%B8%AB%E0%B8%B2%E0%B8%94%E0%B9%81%E0%B8%AB%E0%B9%88/data=!4m7!3m6!1s0x313c37a8efa865f9:0x85654ea697f9d845!8m2!3d16.9027479!4d104.7365214!16s%2Fg%2F11tsnxl1wq!19sChIJ-WWo76g3PDERRdj5l6ZOZYU?authuser=0&hl=en&rclk=1","หาดแห่","4.6","(41)","สถานที่ท่องเที่ยว","·","WP3P+3J","https://lh5.googleusercontent.com/p/AF1QipMVOymIi_QFXacPKbwlENW-GYqs1sd6X5oNBGow=w163-h92-k-no","","","","",""
"https://www.google.com/maps/place/Rueang+Aram+Ratsada+Korn+Gate/data=!4m7!3m6!1s0x313c39de3d6938dd:0xac962a2f7c819627!8m2!3d16.9428325!4d104.7278061!16s%2Fg%2F1hm6n34lw!19sChIJ3ThpPd45PDERJ5aBfC8qlqw?authuser=0&hl=en&rclk=1","Rueang Aram Ratsada Korn Gate","4.4","(227)","สถานที่ท่องเที่ยว","·","·","https://lh5.googleusercontent.com/p/AF1QipPo7Yj-XqD4JkxuH9j3FcuIXmWtUpfMtDl2I3K4=w80-h106-k-no","","WPVH+44M","Open 24 hours","",""
"https://www.google.com/maps/place/Wat+Phrathat+Phanom+Woramahawihan/data=!4m7!3m6!1s0x313c39dedb81f727:0xa36d67585f346f51!8m2!3d16.9426557!4d104.7239887!16s%2Fm%2F02z0wm9!19sChIJJ_eB2945PDERUW80X1hnbaM?authuser=0&hl=en&rclk=1","Wat Phrathat Phanom Woramahawihan","4.7","(12,409)","วัด","·","·","https://lh5.googleusercontent.com/p/AF1QipNiEGgqf0oad4f7bs-NUWlLKyrgBGYcB7FfEjLK=w80-h106-k-no","","183, 13 หมู่ที่ 13 Chayangkun Rd","Closed","Buddhist temple with an intricate spire","⋅ Opens 6 AM"
"https://www.google.com/maps/place/%E0%B8%AA%E0%B8%A7%E0%B8%99%E0%B8%AD%E0%B8%B8%E0%B8%94%E0%B8%A1%E0%B9%82%E0%B8%8A%E0%B8%84+%E0%B8%AD%E0%B8%B8%E0%B8%94%E0%B8%A1%E0%B8%97%E0%B8%A3%E0%B8%B1%E0%B8%9E%E0%B8%A2%E0%B9%8C/data=!4m7!3m6!1s0x313c37b1909a50a1:0xfbbfa80f65fe6a87!8m2!3d16.9001264!4d104.662489!16s%2Fg%2F11srl038r6!19sChIJoVCakLE3PDERh2r-ZQ-ov_s?authuser=0&hl=en&rclk=1","สวนอุดมโชค อุดมทรัพย์","5.0","(1)","สถานที่ท่องเที่ยว","·","บ้านคำชะอี 131","https://lh5.googleusercontent.com/p/AF1QipOb8zq3nRy9PS1EJzugWd0FecBQM41V_m_EoHvz=w80-h106-k-no","","","","",""
"https://www.google.com/maps/place/Wat+Phrathat+Si+Khun/data=!4m7!3m6!1s0x313c4f8d4629b5c3:0x40160f52abe6a513!8m2!3d16.94487!4d104.4970396!16s%2Fg%2F1hd_7fl7k!19sChIJw7UpRo1PPDERE6Xmq1IPFkA?authuser=0&hl=en&rclk=1","Wat Phrathat Si Khun","4.6","(985)","สถานที่ท่องเที่ยว","·","·","https://lh5.googleusercontent.com/p/AF1QipPlyrtqhho9XuZrjfbp9r1A9X4newb2UQ3xoIq-=w80-h142-k-no","","WFVW+WRV","","",""
"https://www.google.com/maps/place/%E0%B9%81%E0%B8%9E%E0%B8%AB%E0%B8%99%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B2%E0%B8%A2/data=!4m7!3m6!1s0x313c37996eecfe17:0x6312ec15fc8c3bfd!8m2!3d16.9390674!4d104.6737272!16s%2Fg%2F11h6d3j0vn!19sChIJF_7sbpk3PDER_TuM_BXsEmM?authuser=0&hl=en&rclk=1","แพหนองหวาย","4.5","(54)","สถานที่ท่องเที่ยว","·","WMQF+JFH Unnamed Road","https://lh5.googleusercontent.com/p/AF1QipNwO5Waciaw-Nk7xtjlJGRfGYAghdgw2xtuHqaj=w122-h92-k-no","","","Closed","","⋅ Opens 8 AM"
"https://www.google.com/maps/place/Wat+Phrathat+Tha+Uthen/data=!4m7!3m6!1s0x313b8b928c737e13:0x41151fb777e5690b!8m2!3d17.5817011!4d104.5910011!16s%2Fg%2F122l8fbp!19sChIJE35zjJKLOzERC2nld7cfFUE?authuser=0&hl=en&rclk=1","Wat Phrathat Tha Uthen","4.7","(1,653)","สถานที่ท่องเที่ยว","·","·","https://lh5.googleusercontent.com/p/AF1QipM4eqExo0yvV5lxJG8LaiC5TYluWtM60e1bsmGx=w80-h106-k-no","","HHJR+MCJ","Open 24 hours","",""
"https://www.google.com/maps/place/OTOP+Tourism+Community/data=!4m7!3m6!1s0x313c3db0b9ed5295:0x809a6b2dd3ddc938!8m2!3d17.0937966!4d104.7610297!16s%2Fg%2F11h07w4fc9!19sChIJlVLtubA9PDEROMnd0y1rmoA?authuser=0&hl=en&rclk=1","OTOP Tourism Community","4.3","(3)","สถานที่ท่องเที่ยว","·","บ้านดอนนางหงส์ท่า หมู่7","https://lh5.googleusercontent.com/p/AF1QipNmlcm58lmGV2XGQw9EornWQEBoTfGzTvRS0UbY=w122-h92-k-no","","","","",""
"https://www.google.com/maps/place/Wat+Puttasima/data=!4m7!3m6!1s0x313c37f12d4010e1:0xd3a364a88a081a14!8m2!3d16.9362333!4d104.6738254!16s%2Fg%2F1tm8bgmw!19sChIJ4RBALfE3PDERFBoIiqhko9M?authuser=0&hl=en&rclk=1","Wat Puttasima","4.6","(18)","สถานที่ท่องเที่ยว","·","·","https://lh5.googleusercontent.com/p/AF1QipOE_gsb_mcYYAosa-SB3s5EeVQ5Eh2Vw86N2xI=w163-h92-k-no","","WMPF+FGW","","",""
"https://www.google.com/maps/place/Ban+Na+Thon+Tai+Kuan+Cultural+Tourism+Community/data=!4m7!3m6!1s0x313c154413f3b887:0x21fe48301c3cdd45!8m2!3d17.1315757!4d104.7511396!16s%2Fg%2F11hdrrj5k1!19sChIJh7jzE0QVPDERRd08HDBI_iE?authuser=0&hl=en&rclk=1","Ban Na Thon Tai Kuan Cultural Tourism Community","4.7","(25)","สถานที่ท่องเที่ยว","·","·","https://lh5.googleusercontent.com/p/AF1QipOBi5Piq1RsEx3dQT1TKGgI5r1Pu2CAPfjIy7UC=w92-h92-k-no","","61 หมู่ที่ 14","Closed","","⋅ Opens 12 PM"
"https://www.google.com/maps/place/Tho+ra+nit+na+rue+mit+Park/data=!4m7!3m6!1s0x313c3708b76abc87:0xe5804f6184c406ad!8m2!3d16.9236152!4d104.7175242!16s%2Fg%2F11g23qw8zd!19sChIJh7xqtwg3PDERrQbEhGFPgOU?authuser=0&hl=en&rclk=1","Tho ra nit na rue mit Park","4.6","(11)","สวน","·","WPF9+C2R","https://lh5.googleusercontent.com/p/AF1QipM78ZJnS0XP-ecsIhAZtpeFrIGDptshKQxpcEZN=w122-h92-k-no","","","","",""
"https://www.google.com/maps/place/Wat+Phrathat+Mahachai/data=!4m7!3m6!1s0x313c659ce2483a0f:0xa9e0dea7dbf94719!8m2!3d17.2787161!4d104.4590019!16s%2Fg%2F1tfyb19w!19sChIJDzpI4pxlPDERGUf526fe4Kk?authuser=0&hl=en&rclk=1","Wat Phrathat Mahachai","4.6","(888)","สถานที่ท่องเที่ยว","·","·","https://lh5.googleusercontent.com/p/AF1QipOc2PWvD1FOddoVYLJO_6IPc_vov28JDlrbML8_=w127-h92-k-no","","7FH5+FJJ","Closed","","⋅ Opens 8 AM"
"https://www.google.com/maps/place/%E0%B8%AB%E0%B8%99%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%99%E0%B9%89%E0%B8%AD%E0%B8%A2/data=!4m7!3m6!1s0x313c8f937997ed9b:0xb7fcc7fad213d27e!8m2!3d17.2617375!4d104.1573539!16s%2Fg%2F11h6lz47y9!19sChIJm-2XeZOPPDERftIT0vrH_Lc?authuser=0&hl=en&rclk=1","หนองหารน้อย","4.4","(10)","สถานที่ท่องเที่ยว","·","7564+MWX","https://lh5.googleusercontent.com/p/AF1QipOyv7stJatyHL3anwoD_H1fY1MNEKgB6NQ9Grp9=w80-h106-k-no","","","","",""
"https://www.google.com/maps/place/Wat+Phra+Klang+Thung/data=!4m7!3m6!1s0x313c39a3daeea1fb:0x1bbeb173ac85f654!8m2!3d16.9764762!4d104.7258093!16s%2Fg%2F1tj_2qsh!19sChIJ-6Hu2qM5PDERVPaFrHOxvhs?authuser=0&hl=en&rclk=1","Wat Phra Klang Thung","4.6","(19)","สถานที่ท่องเที่ยว","·","วัดพระกลางทุ่ง","https://lh5.googleusercontent.com/p/AF1QipM7D6KbFEZdOA3maC0vyciL20-jvFvOHkzaRUhN=w80-h106-k-no","","","","",""
"https://www.google.com/maps/place/%E0%B8%A5%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%81%E0%B8%9E%E0%B9%81%E0%B8%A5%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%81%E0%B9%88%E0%B8%B3%E0%B8%9A%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B8%94%E0%B9%89%E0%B8%A7%E0%B8%87+@+%E0%B8%94%E0%B8%87%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%A1/data=!4m7!3m6!1s0x313c3776250b3a21:0x832138694ba44af7!8m2!3d16.9383784!4d104.6863738!16s%2Fg%2F11qbr3v46j!19sChIJIToLJXY3PDER90qkS2k4IYM?authuser=0&hl=en&rclk=1","ล่องแพแลน้ำก่ำบุ่งด้วง @ ดงคราม","5.0","(1)","สถานที่ท่องเที่ยว","·","หมู่ 12 บ้านดงคราม","https://lh5.googleusercontent.com/p/AF1QipNoSp-qkgiVtr44e9J8K4JeXnSadII4D62d7UU5=w80-h106-k-no","","","Closed","","⋅ Opens 9 AM"
