name,description,location,latitude,longitude,category,service_option1,service_option2
"Somtam Papaya salad, Spicy Salad by Aunt Ae",4.7,https://lh5.googleusercontent.com/p/AF1QipO2O18J3BQmzf6TZkyNBG4QfSIIoRBu_1M4djmM=w163-h92-k-no,16.950375,104.7253988,·,·,Takeaway
Qhun Qhun Kitchen,4.5,https://lh5.googleusercontent.com/p/AF1QipPC9r4tx1hC9lFwHpRIcS_I9E5EYIkiritU0cU=w122-h92-k-no,16.9350557,104.7099568,·,·,Takeaway
เฝอประตูโขง,4.3,https://lh5.googleusercontent.com/p/AF1QipM9U-8P9O9GvHfHPF8LW7PtTXr2_RL77u5l6Q9Q=w122-h92-k-no,16.9430847,104.7277924,·,·,Takeaway
Kok Tong Pla Chum That Phanom Shop- Fresh Fish Dishes Restaurant,4.6,https://lh5.googleusercontent.com/p/AF1QipNzJ_54ePcTlReAt0bNcezuGuj-asyU5FvhdbZ0=w122-h92-k-no,16.9511952,104.7243337,·,·,Takeaway
Daothong Vietnamese Food Restaurant,4.1,https://lh5.googleusercontent.com/p/AF1QipNh1xOvXl-JfxiaMAmX96EUtpYTmuGDhO8jFls=w122-h92-k-no,16.9423352,104.7281226,·,·,Takeaway
"Solae Restaurant, That Phanom Town: Thai food, Thai beer, & Thai live music !",4.3,,16.946194,104.727758,·,·,Takeaway
เจ๊เพ็ญริมโขง ข้าวเปียกเส้น,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TDl7nkEDOJeoNehnWQfywQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=220.33614&pitch=0&thumbfov=100,16.94632,104.7295709,·,·,Takeaway
ร้านข้าวแกงริมบึง,4.8,,16.9456709,104.7275192,·,·,Takeaway
ธนพรบะหมี่เกี๊ยวปู,,,16.9445922,104.7268801,·,·,Takeaway
A-List Coffee&Tea Cheese,4.7,https://lh5.googleusercontent.com/p/AF1QipNvLZiPFaNieZlaVmuN6TUW6nGSKoPyExgfnwBy=w163-h92-k-no,16.9456223,104.7209062,·,·,Takeaway
"Solae Restaurant, That Phanom Town: Thai food, Thai beer, & Thai live music !",4.3,https://lh5.googleusercontent.com/p/AF1QipNQ64rnHlZ-57hgbfzk9nJxImi1lltxMrJfBzad=w122-h92-k-no,16.946194,104.727758,·,·,Takeaway
ร้านข้าวแกงริมบึง,4.8,https://lh5.googleusercontent.com/p/AF1QipPeuk4Serl9C8mCsY3PsyL0DUpuSgbYUphATZq9=w80-h106-k-no,16.9456709,104.7275192,·,·,Takeaway
ธนพรบะหมี่เกี๊ยวปู,,https://lh5.googleusercontent.com/p/AF1QipPoqhxJezhtZYTzD5BIa2M-CQ2aFba5N0FQgVq5=w163-h92-k-no,16.9445922,104.7268801,·,·,Takeaway
Mong Lลย์,4.5,https://lh5.googleusercontent.com/p/AF1QipMH20oTPnRLbjeqCJTSR6w8Fl9hR6DpvHa3k4f_=w122-h92-k-no,16.9475694,104.729596,·,·,Takeaway
ร้านอาหารเจ ธาตุพนม,5.0,https://lh5.googleusercontent.com/p/AF1QipOPY6i7KA-YPVWj103RER8XiZO-_pPG6fe5v_Y8=w122-h92-k-no,16.9422839,104.7279809,·,·,Takeaway
ครัวตุ๊ดตู่ ธาตุพนม,4.2,https://lh5.googleusercontent.com/p/AF1QipP--la89zVHNxOBNwMxAxS6CTmkrnJrzBJOY7XP=w122-h92-k-no,16.9349144,104.7142474,·,·,Takeaway
"Vika Shop, Vipha Restaurant for Famous Pad.Thai",4.9,https://lh5.googleusercontent.com/p/AF1QipNvtTcdWbR2Wb9LVFKinZWZbwH62DalThowyYGk=w80-h106-k-no,16.9421324,104.7278592,·,·,Takeaway
D DAY BAR,5.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TDwwBuhrN_RJyjZDA6APHw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=104.6895&pitch=0&thumbfov=100,16.9518466,104.7228034,·,·,Takeaway
โจ๊ก ผัดไทตึกเหลือง,3.1,https://lh5.googleusercontent.com/p/AF1QipPe52rQ_6OilzP2Ni6BWY92yjlipPseqovMb-6a=w122-h92-k-no,16.943019,104.7279876,·,·,Takeaway
Sister Cafe,4.3,https://lh5.googleusercontent.com/p/AF1QipN0xjvAZl6JjJgbuQeY7tWangB57N-OAPLKUXry=w138-h92-k-no,16.9393779,104.7230512,·,·,Takeaway
ก๋วยเตี๋ยวเป็ดธาตุพนม(ยายน้อย),4.3,https://lh5.googleusercontent.com/p/AF1QipPD8R6ieXnY2fIPALGHOSOS_LRXdso9GilH67lw=w122-h92-k-no,16.9472793,104.7282471,·,·,Takeaway
