url,name,description,rating,reviews,category,unknown1,location,image_url,service_option1,service_option2
,,,,,,,,,,
,,,,,,,,,,
"https://www.google.com/maps/place/Somtam+Papaya+salad,+Spicy+Salad+by+Aunt+Ae/data=!4m7!3m6!1s0x313c399aab17b7ed:0x9fcab4afff0bf214!8m2!3d16.950375!4d104.7253988!16s%2Fg%2F11hy5p97m1!19sChIJ7bcXq5o5PDERFPIL_6-0yp8?authuser=0&hl=en&rclk=1","Somtam Papaya salad, Spicy Salad by Aunt Ae",4.7,(65),Restaurant,·,"XP2G+45R, Chayangkun Rd",https://lh5.googleusercontent.com/p/AF1QipO2O18J3BQmzf6TZkyNBG4QfSIIoRBu_1M4djmM=w163-h92-k-no,Dine-in,·,Takeaway
https://www.google.com/maps/place/Qhun+Qhun+Kitchen/data=!4m7!3m6!1s0x313c376e4531a599:0x876135e099aeaddd!8m2!3d16.9350557!4d104.7099568!16s%2Fg%2F11j8q_80yq!19sChIJmaUxRW43PDER3a2umeA1YYc?authuser=0&hl=en&rclk=1,Qhun Qhun Kitchen,4.5,(35),Restaurant,·,"หมู่ 8, ตําบลธาตุพนม อําเภอ",https://lh5.googleusercontent.com/p/AF1QipPC9r4tx1hC9lFwHpRIcS_I9E5EYIkiritU0cU=w122-h92-k-no,Dine-in,·,Takeaway
https://www.google.com/maps/place/%E0%B9%80%E0%B8%9D%E0%B8%AD%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%95%E0%B8%B9%E0%B9%82%E0%B8%82%E0%B8%87/data=!4m7!3m6!1s0x313c392f1a74ebc1:0x55949528bff4d79b!8m2!3d16.9430847!4d104.7277924!16s%2Fg%2F11qmrl90qp!19sChIJwet0Gi85PDERm9f0vyiVlFU?authuser=0&hl=en&rclk=1,เฝอประตูโขง,4.3,(3),Restaurant,·,30 ถนน พนมพนารักษ์,https://lh5.googleusercontent.com/p/AF1QipM9U-8P9O9GvHfHPF8LW7PtTXr2_RL77u5l6Q9Q=w122-h92-k-no,Dine-in,·,Takeaway
https://www.google.com/maps/place/Kok+Tong+Pla+Chum+That+Phanom+Shop-+Fresh+Fish+Dishes+Restaurant/data=!4m7!3m6!1s0x313c39a25529e1db:0x9704066283b2b890!8m2!3d16.9511952!4d104.7243337!16s%2Fg%2F11gnsp_wzb!19sChIJ2-EpVaI5PDERkLiyg2IGBJc?authuser=0&hl=en&rclk=1,Kok Tong Pla Chum That Phanom Shop- Fresh Fish Dishes Restaurant,4.6,(62),Restaurant,·,12หมู่13,https://lh5.googleusercontent.com/p/AF1QipNzJ_54ePcTlReAt0bNcezuGuj-asyU5FvhdbZ0=w122-h92-k-no,Dine-in,·,Takeaway
https://www.google.com/maps/place/Daothong+Vietnamese+Food+Restaurant/data=!4m7!3m6!1s0x313c39de3ad75f2d:0xd9e789a9a3572d06!8m2!3d16.9423352!4d104.7281226!16s%2Fg%2F11bxfrlw_2!19sChIJLV_XOt45PDERBi1Xo6mJ59k?authuser=0&hl=en&rclk=1,Daothong Vietnamese Food Restaurant,4.1,(820),Vietnamese,·,ถนน พนมพนารักษ์,https://lh5.googleusercontent.com/p/AF1QipNh1xOvXl-JfxiaMAmX96EUtpYTmuGDhO8jFls=w122-h92-k-no,Dine-in,·,Takeaway
"https://www.google.com/maps/place/Solae+Restaurant,+That+Phanom+Town:+Thai+food,+Thai+beer,+%26+Thai+live+music+!/data=!4m7!3m6!1s0x313c39dde96c1bd3:0x288acf5d04be827e!8m2!3d16.946194!4d104.727758!16s%2Fg%2F11crzg5vmf!19sChIJ0xts6d05PDERfoK-BF3Piig?authuser=0&hl=en&rclk=1","Solae Restaurant, That Phanom Town: Thai food, Thai beer, & Thai live music !",4.3,(127),Restaurant,·,55 ม.2,,Dine-in,·,Takeaway
https://www.google.com/maps/place/%E0%B9%80%E0%B8%88%E0%B9%8A%E0%B9%80%E0%B8%9E%E0%B9%87%E0%B8%8D%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B9%82%E0%B8%82%E0%B8%87+%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B9%80%E0%B8%9B%E0%B8%B5%E0%B8%A2%E0%B8%81%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99/data=!4m7!3m6!1s0x313c39d679163b73:0x331c47b81abcf300!8m2!3d16.94632!4d104.7295709!16s%2Fg%2F11rmyt0v_4!19sChIJczsWedY5PDERAPO8GrhHHDM?authuser=0&hl=en&rclk=1,เจ๊เพ็ญริมโขง ข้าวเปียกเส้น,,,Thai,·,WPWH+GRG,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TDl7nkEDOJeoNehnWQfywQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=220.33614&pitch=0&thumbfov=100,Dine-in,·,Takeaway
https://www.google.com/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B9%81%E0%B8%81%E0%B8%87%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B8%9A%E0%B8%B6%E0%B8%87/data=!4m7!3m6!1s0x313c395bda820c21:0xbf880c98189e21f3!8m2!3d16.9456709!4d104.7275192!16s%2Fg%2F11fd4k_j15!19sChIJIQyC2ls5PDER8yGeGJgMiL8?authuser=0&hl=en&rclk=1,ร้านข้าวแกงริมบึง,4.8,(11),Restaurant,·,Unnamed Road,,Dine-in,·,Takeaway
